frame	time	Max Temp	units
316	2022-08-10 10:57:40.253000	1.565478e+02	C
317	2022-08-10 10:57:40.286000	1.555073e+02	C
318	2022-08-10 10:57:40.320000	1.638824e+02	C
319	2022-08-10 10:57:40.353000	1.560281e+02	C
320	2022-08-10 10:57:40.386000	1.567208e+02	C
321	2022-08-10 10:57:40.420000	1.637142e+02	C
322	2022-08-10 10:57:40.453000	1.642186e+02	C
323	2022-08-10 10:57:40.486000	1.563747e+02	C
324	2022-08-10 10:57:40.520000	1.551595e+02	C
325	2022-08-10 10:57:40.553000	1.582725e+02	C
326	2022-08-10 10:57:40.586000	1.596438e+02	C
327	2022-08-10 10:57:40.620000	1.586161e+02	C
328	2022-08-10 10:57:40.653000	1.586161e+02	C
329	2022-08-10 10:57:40.686000	1.608377e+02	C
330	2022-08-10 10:57:40.720000	1.648895e+02	C
331	2022-08-10 10:57:40.753000	1.567208e+02	C
332	2022-08-10 10:57:40.786000	1.567208e+02	C
333	2022-08-10 10:57:40.820000	1.635459e+02	C
334	2022-08-10 10:57:40.853000	1.618566e+02	C
335	2022-08-10 10:57:40.886000	1.603267e+02	C
336	2022-08-10 10:57:40.920000	1.577564e+02	C
337	2022-08-10 10:57:40.953000	1.625336e+02	C
338	2022-08-10 10:57:40.986000	1.673904e+02	C
339	2022-08-10 10:57:41.020000	1.563747e+02	C
340	2022-08-10 10:57:41.053000	1.620260e+02	C
341	2022-08-10 10:57:41.086000	1.582725e+02	C
342	2022-08-10 10:57:41.120000	1.565478e+02	C
343	2022-08-10 10:57:41.153000	1.560281e+02	C
344	2022-08-10 10:57:41.186000	1.556810e+02	C
345	2022-08-10 10:57:41.220000	1.586161e+02	C
346	2022-08-10 10:57:41.253000	1.627026e+02	C
347	2022-08-10 10:57:41.286000	1.665593e+02	C
348	2022-08-10 10:57:41.320000	1.637142e+02	C
349	2022-08-10 10:57:41.353000	1.660595e+02	C
350	2022-08-10 10:57:41.386000	1.596438e+02	C
351	2022-08-10 10:57:41.420000	1.706888e+02	C
352	2022-08-10 10:57:41.453000	1.700324e+02	C
353	2022-08-10 10:57:41.486000	1.616871e+02	C
354	2022-08-10 10:57:41.520000	1.599855e+02	C
355	2022-08-10 10:57:41.553000	1.670583e+02	C
356	2022-08-10 10:57:41.586000	1.677220e+02	C
357	2022-08-10 10:57:41.620000	1.643864e+02	C
358	2022-08-10 10:57:41.653000	1.653915e+02	C
359	2022-08-10 10:57:41.686000	1.650569e+02	C
360	2022-08-10 10:57:41.720000	1.630403e+02	C
361	2022-08-10 10:57:41.753000	1.618566e+02	C
362	2022-08-10 10:57:41.786000	1.637142e+02	C
363	2022-08-10 10:57:41.820000	1.703608e+02	C
364	2022-08-10 10:57:41.853000	1.745950e+02	C
365	2022-08-10 10:57:41.886000	1.737858e+02	C
366	2022-08-10 10:57:41.920000	1.721602e+02	C
367	2022-08-10 10:57:41.953000	1.700324e+02	C
368	2022-08-10 10:57:41.986000	1.680533e+02	C
369	2022-08-10 10:57:42.020000	1.752407e+02	C
370	2022-08-10 10:57:42.053000	1.690446e+02	C
371	2022-08-10 10:57:42.086000	1.683842e+02	C
372	2022-08-10 10:57:42.120000	1.731367e+02	C
373	2022-08-10 10:57:42.153000	1.682188e+02	C
374	2022-08-10 10:57:42.186000	1.779684e+02	C
375	2022-08-10 10:57:42.220000	1.762065e+02	C
376	2022-08-10 10:57:42.253000	1.706888e+02	C
377	2022-08-10 10:57:42.287000	1.705249e+02	C
378	2022-08-10 10:57:42.320000	1.677220e+02	C
379	2022-08-10 10:57:42.353000	1.665593e+02	C
380	2022-08-10 10:57:42.386000	1.737858e+02	C
381	2022-08-10 10:57:42.420000	1.697035e+02	C
382	2022-08-10 10:57:42.453000	1.790840e+02	C
383	2022-08-10 10:57:42.486000	1.731367e+02	C
384	2022-08-10 10:57:42.520000	1.763671e+02	C
385	2022-08-10 10:57:42.553000	1.797196e+02	C
386	2022-08-10 10:57:42.586000	1.773290e+02	C
387	2022-08-10 10:57:42.620000	1.806702e+02	C
388	2022-08-10 10:57:42.653000	1.774890e+02	C
389	2022-08-10 10:57:42.686000	1.819330e+02	C
390	2022-08-10 10:57:42.720000	1.729742e+02	C
391	2022-08-10 10:57:42.753000	1.795608e+02	C
392	2022-08-10 10:57:42.786000	1.741097e+02	C
393	2022-08-10 10:57:42.819000	1.680533e+02	C
394	2022-08-10 10:57:42.853000	1.672243e+02	C
395	2022-08-10 10:57:42.886000	1.673904e+02	C
396	2022-08-10 10:57:42.920000	1.690446e+02	C
397	2022-08-10 10:57:42.953000	1.668921e+02	C
398	2022-08-10 10:57:42.986000	1.627026e+02	C
399	2022-08-10 10:57:43.022000	1.623645e+02	C
400	2022-08-10 10:57:43.055000	1.749180e+02	C
401	2022-08-10 10:57:43.088000	1.739478e+02	C
402	2022-08-10 10:57:43.121000	1.762065e+02	C
403	2022-08-10 10:57:43.155000	1.741097e+02	C
404	2022-08-10 10:57:43.188000	1.648895e+02	C
405	2022-08-10 10:57:43.221000	1.700324e+02	C
406	2022-08-10 10:57:43.255000	1.662262e+02	C
407	2022-08-10 10:57:43.288000	1.638824e+02	C
408	2022-08-10 10:57:43.321000	1.633775e+02	C
409	2022-08-10 10:57:43.355000	1.625336e+02	C
410	2022-08-10 10:57:43.388000	1.647219e+02	C
411	2022-08-10 10:57:43.421000	1.703608e+02	C
412	2022-08-10 10:57:43.455000	1.685494e+02	C
413	2022-08-10 10:57:43.488000	1.752407e+02	C
414	2022-08-10 10:57:43.521000	1.682188e+02	C
415	2022-08-10 10:57:43.555000	1.745950e+02	C
416	2022-08-10 10:57:43.588000	1.690446e+02	C
417	2022-08-10 10:57:43.621000	1.719971e+02	C
418	2022-08-10 10:57:43.655000	1.682188e+02	C
419	2022-08-10 10:57:43.688000	1.779684e+02	C
420	2022-08-10 10:57:43.721000	1.744333e+02	C
421	2022-08-10 10:57:43.755000	1.729742e+02	C
422	2022-08-10 10:57:43.788000	1.604972e+02	C
423	2022-08-10 10:57:43.821000	1.688797e+02	C
424	2022-08-10 10:57:43.855000	1.701966e+02	C
425	2022-08-10 10:57:43.888000	1.683842e+02	C
426	2022-08-10 10:57:43.921000	1.697035e+02	C
427	2022-08-10 10:57:43.955000	1.750794e+02	C
428	2022-08-10 10:57:43.988000	1.779684e+02	C
429	2022-08-10 10:57:44.021000	1.726488e+02	C
430	2022-08-10 10:57:44.055000	1.763671e+02	C
431	2022-08-10 10:57:44.088000	1.734614e+02	C
432	2022-08-10 10:57:44.121000	1.672243e+02	C
433	2022-08-10 10:57:44.155000	1.765276e+02	C
434	2022-08-10 10:57:44.188000	1.737858e+02	C
435	2022-08-10 10:57:44.221000	1.776489e+02	C
436	2022-08-10 10:57:44.255000	1.706888e+02	C
437	2022-08-10 10:57:44.288000	1.745950e+02	C
438	2022-08-10 10:57:44.321000	1.700324e+02	C
439	2022-08-10 10:57:44.355000	1.682188e+02	C
440	2022-08-10 10:57:44.388000	1.678877e+02	C
441	2022-08-10 10:57:44.421000	1.728116e+02	C
442	2022-08-10 10:57:44.455000	1.713437e+02	C
443	2022-08-10 10:57:44.488000	1.703608e+02	C
444	2022-08-10 10:57:44.521000	1.763671e+02	C
445	2022-08-10 10:57:44.555000	1.747566e+02	C
446	2022-08-10 10:57:44.588000	1.706888e+02	C
447	2022-08-10 10:57:44.621000	1.790840e+02	C
448	2022-08-10 10:57:44.655000	1.752407e+02	C
449	2022-08-10 10:57:44.688000	1.749180e+02	C
450	2022-08-10 10:57:44.721000	1.744333e+02	C
451	2022-08-10 10:57:44.755000	1.778087e+02	C
452	2022-08-10 10:57:44.788000	1.776489e+02	C
453	2022-08-10 10:57:44.821000	1.808284e+02	C
454	2022-08-10 10:57:44.855000	1.797196e+02	C
455	2022-08-10 10:57:44.888000	1.819330e+02	C
456	2022-08-10 10:57:44.921000	1.836603e+02	C
457	2022-08-10 10:57:44.955000	1.833470e+02	C
458	2022-08-10 10:57:44.988000	1.836603e+02	C
459	2022-08-10 10:57:45.021000	1.866202e+02	C
460	2022-08-10 10:57:45.055000	1.813023e+02	C
461	2022-08-10 10:57:45.088000	1.835037e+02	C
462	2022-08-10 10:57:45.121000	1.895510e+02	C
463	2022-08-10 10:57:45.155000	1.895510e+02	C
464	2022-08-10 10:57:45.188000	1.825623e+02	C
465	2022-08-10 10:57:45.221000	1.809864e+02	C
466	2022-08-10 10:57:45.255000	1.765276e+02	C
467	2022-08-10 10:57:45.288000	1.806702e+02	C
468	2022-08-10 10:57:45.321000	1.828764e+02	C
469	2022-08-10 10:57:45.355000	1.838168e+02	C
470	2022-08-10 10:57:45.388000	1.933649e+02	C
471	2022-08-10 10:57:45.421000	1.956309e+02	C
472	2022-08-10 10:57:45.455000	1.995204e+02	C
473	2022-08-10 10:57:45.488000	1.989251e+02	C
474	2022-08-10 10:57:45.521000	2.010039e+02	C
475	2022-08-10 10:57:45.555000	2.150597e+02	C
476	2022-08-10 10:57:45.588000	2.227832e+02	C
477	2022-08-10 10:57:45.621000	2.213912e+02	C
478	2022-08-10 10:57:45.655000	2.384301e+02	C
479	2022-08-10 10:57:45.688000	2.511624e+02	C
480	2022-08-10 10:57:45.721000	2.568126e+02	C
481	2022-08-10 10:57:45.755000	2.488291e+02	C
482	2022-08-10 10:57:45.788000	2.575774e+02	C
483	2022-08-10 10:57:45.821000	2.718658e+02	C
484	2022-08-10 10:57:45.855000	2.881251e+02	C
485	2022-08-10 10:57:45.888000	2.979386e+02	C
486	2022-08-10 10:57:45.921000	3.021389e+02	C
487	2022-08-10 10:57:45.955000	2.973526e+02	C
488	2022-08-10 10:57:45.988000	3.054990e+02	C
489	2022-08-10 10:57:46.023000	3.343345e+02	C
490	2022-08-10 10:57:46.057000	3.499785e+02	C
491	2022-08-10 10:57:46.090000	3.704960e+02	C
492	2022-08-10 10:57:46.123000	4.065353e+02	C
493	2022-08-10 10:57:46.157000	4.268995e+02	C
494	2022-08-10 10:57:46.190000	4.368622e+02	C
495	2022-08-10 10:57:46.223000	4.344539e+02	C
496	2022-08-10 10:57:46.257000	4.378238e+02	C
497	2022-08-10 10:57:46.290000	4.320394e+02	C
